        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                       7                      -107.82162
                  7.0012                      -107.79756
                  7.0024                      -107.77353
                  7.0036                      -107.74952
                  7.0048                      -107.72552
                   7.006                      -107.70155
                  7.0072                       -107.6776
                  7.0084                      -107.65366
                  7.0096                      -107.62975
                  7.0108                      -107.60586
                   7.012                      -107.58199
                  7.0132                      -107.55814
                  7.0144                      -107.53431
                  7.0156                       -107.5105
                  7.0168                       -107.4867
                   7.018                      -107.46293
                  7.0192                      -107.43918
                  7.0204                      -107.41544
                  7.0216                      -107.39173
                  7.0228                      -107.36803
                   7.024                      -107.34435
                  7.0252                      -107.32069
                  7.0264                      -107.29705
                  7.0276                      -107.27343
                  7.0288                      -107.24982
                    7.03                      -107.22624
                  7.0312                      -107.20267
                  7.0324                      -107.17912
                  7.0336                      -107.15559
                  7.0348                      -107.13208
                   7.036                      -107.10858
                  7.0372                       -107.0851
                  7.0384                      -107.06164
                  7.0396                      -107.03819
                  7.0408                      -107.01477
                   7.042                      -106.99136
                  7.0432                      -106.96796
                  7.0444                      -106.94459
                  7.0456                      -106.92123
                  7.0468                      -106.89789
                   7.048                      -106.87456
                  7.0492                      -106.85125
                  7.0504                      -106.82796
                  7.0516                      -106.80468
                  7.0528                      -106.78142
                   7.054                      -106.75817
                  7.0552                      -106.73495
                  7.0564                      -106.71173
                  7.0576                      -106.68854
                  7.0588                      -106.66535
                    7.06                      -106.64219
                  7.0612                      -106.61904
                  7.0624                       -106.5959
                  7.0636                      -106.57278
                  7.0648                      -106.54968
                   7.066                      -106.52659
                  7.0672                      -106.50351
                  7.0684                      -106.48045
                  7.0696                      -106.45741
                  7.0708                      -106.43438
                   7.072                      -106.41136
                  7.0732                      -106.38836
                  7.0744                      -106.36537
                  7.0756                       -106.3424
                  7.0768                      -106.31944
                   7.078                       -106.2965
                  7.0792                      -106.27357
                  7.0804                      -106.25065
                  7.0816                      -106.22775
                  7.0828                      -106.20486
                   7.084                      -106.18198
                  7.0852                      -106.15912
                  7.0864                      -106.13627
                  7.0876                      -106.11344
                  7.0888                      -106.09062
                    7.09                      -106.06781
                  7.0912                      -106.04502
                  7.0924                      -106.02223
                  7.0936                      -105.99947
                  7.0948                      -105.97671
                   7.096                      -105.95397
                  7.0972                      -105.93124
                  7.0984                      -105.90852
                  7.0996                      -105.88582
                  7.1008                      -105.86312
                   7.102                      -105.84044
                  7.1032                      -105.81778
                  7.1044                      -105.79512
                  7.1056                      -105.77248
                  7.1068                      -105.74985
                   7.108                      -105.72723
                  7.1092                      -105.70462
                  7.1104                      -105.68203
                  7.1116                      -105.65945
                  7.1128                      -105.63687
                   7.114                      -105.61431
                  7.1152                      -105.59177
                  7.1164                      -105.56923
                  7.1176                      -105.54671
                  7.1188                      -105.52419
                    7.12                      -105.50169
                  7.1212                       -105.4792
                  7.1224                      -105.45672
                  7.1236                      -105.43425
                  7.1248                      -105.41179
                   7.126                      -105.38935
                  7.1272                      -105.36691
                  7.1284                      -105.34448
                  7.1296                      -105.32207
                  7.1308                      -105.29967
                   7.132                      -105.27727
                  7.1332                      -105.25489
                  7.1344                      -105.23252
                  7.1356                      -105.21016
                  7.1368                      -105.18781
                   7.138                      -105.16546
                  7.1392                      -105.14313
                  7.1404                      -105.12081
                  7.1416                       -105.0985
                  7.1428                       -105.0762
                   7.144                      -105.05391
                  7.1452                      -105.03163
                  7.1464                      -105.00936
                  7.1476                       -104.9871
                  7.1488                      -104.96484
                    7.15                       -104.9426
                  7.1512                      -104.92037
                  7.1524                      -104.89815
                  7.1536                      -104.87593
                  7.1548                      -104.85373
                   7.156                      -104.83153
                  7.1572                      -104.80935
                  7.1584                      -104.78717
                  7.1596                        -104.765
                  7.1608                      -104.74284
                   7.162                      -104.72069
                  7.1632                      -104.69855
                  7.1644                      -104.67642
                  7.1656                       -104.6543
                  7.1668                      -104.63218
                   7.168                      -104.61007
                  7.1692                      -104.58798
                  7.1704                      -104.56589
