CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;;;;CST XY Data Exchange Format V1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;;;;Title  = S-Parameter Magnitude in dB;
Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;;;;Xlabel = Frequency / GHz;
Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;;;;Ylabel = ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;;;;Curvelabel = S2,1;
Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;;;;Filename   = ^d2(1)1(1).sig;
Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;;;;Npoints    = 1001;
Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;;;;Type       = 8;
Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;;;;Subtype    = 3;
Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;;;;Impedance  = -1;
l=26 s=1;;;;l=24 s=1;;;;l=22 s=1;;;;l=20 s=1;;;;l=18 s=1;;;;l=26 s=1.5;;;;l=24 s=1.5;;;;l=22 s=1.5;;;;l=20 s=1.5;;;;l=18 s=1.5;;;;l=26 s=2;;;;l=24 s=2;;;;l=22 s=2;;;;l=20 s=2;;;;l=18 s=2;
8;-16,2425;;;8;-15,72904;;;8;-22,91973;;;8;-26,92024;;;8;-23,58847;;;8;-15,09547;;;8;-16,00456;;;8;-29,82079;;;8;-25,22645;;;8;-25,22645;;;8;-8,101817;;;8;-8,101817;;;8;-21,9747;;;8;-21,9747;;;8;-19,35442
8,004;-16,71461;;;8,004;-15,79339;;;8,004;-22,88312;;;8,004;-26,92726;;;8,004;-23,69341;;;8,004;-15,06911;;;8,004;-15,83754;;;8,004;-29,25065;;;8,004;-25,12892;;;8,004;-25,12892;;;8,004;-8,021109;;;8,004;-8,021109;;;8,004;-21,81473;;;8,004;-21,81473;;;8,004;-19,58964
8,008;-17,12369;;;8,008;-15,88087;;;8,008;-22,87309;;;8,008;-26,90978;;;8,008;-23,79713;;;8,008;-14,96902;;;8,008;-15,67558;;;8,008;-28,6959;;;8,008;-25,05167;;;8,008;-25,05167;;;8,008;-7,952287;;;8,008;-7,952287;;;8,008;-21,6673;;;8,008;-21,6673;;;8,008;-19,84916
8,012;-17,42164;;;8,012;-15,99105;;;8,012;-22,88926;;;8,012;-26,86892;;;8,012;-23,89874;;;8,012;-14,80108;;;8,012;-15,52;;;8,012;-28,16407;;;8,012;-24,9943;;;8,012;-24,9943;;;8,012;-7,895271;;;8,012;-7,895271;;;8,012;-21,53197;;;8,012;-21,53197;;;8,012;-20,13162
8,016;-17,56554;;;8,016;-16,12336;;;8,016;-22,93138;;;8,016;-26,80655;;;8,016;-23,9973;;;8,016;-14,57498;;;8,016;-15,37191;;;8,016;-27,65952;;;8,016;-24,95647;;;8,016;-24,95647;;;8,016;-7,849971;;;8,016;-7,849971;;;8,016;-21,40837;;;8,016;-21,40837;;;8,016;-20,43511
8,02;-17,53184;;;8,02;-16,27713;;;8,02;-22,99933;;;8,02;-26,72516;;;8,02;-24,09185;;;8,02;-14,30265;;;8,02;-15,23222;;;8,02;-27,18443;;;8,02;-24,93786;;;8,02;-24,93786;;;8,02;-7,816298;;;8,02;-7,816298;;;8,02;-21,29614;;;8,02;-21,29614;;;8,02;-20,75693
8,024;-17,32593;;;8,024;-16,45152;;;8,024;-23,09308;;;8,024;-26,6277;;;8,024;-24,18142;;;8,024;-13,99674;;;8,024;-15,10168;;;8,024;-26,73963;;;8,024;-24,93816;;;8,024;-24,93816;;;8,024;-7,794157;;;8,024;-7,794157;;;8,024;-21,19495;;;8,024;-21,19495;;;8,024;-21,09334
