        Frequency                _d0=25.14_l=16.76_sh=21.33/real
----------------------------------------------------------------------
                       8                      -12.816056
               8.0039997                       -12.91427
               8.0079994                      -13.026415
               8.0120001                      -13.152622
               8.0159998                      -13.293055
               8.0199995                      -13.447885
               8.0240002                      -13.617321
               8.0279999                      -13.801584
               8.0319996                      -14.000904
               8.0359993                      -14.215521
                    8.04                      -14.445677
               8.0439997                      -14.691591
               8.0479994                      -14.953465
               8.0519991                      -15.231443
               8.0559998                      -15.525593
               8.0600004                      -15.835869
               8.0640001                      -16.162056
               8.0679998                      -16.503708
               8.0719995                      -16.860048
               8.0760002                      -17.229879
               8.0799999                      -17.611412
               8.0839996                      -18.002106
               8.0879993                      -18.398451
                   8.092                      -18.795736
               8.0959997                      -19.187813
               8.0999994                       -19.56691
               8.1040001                      -19.923574
               8.1079998                      -20.246849
               8.1119995                      -20.524803
               8.1159992                       -20.74547
               8.1199999                      -20.898216
               8.1239996                      -20.975229
               8.1279993                      -20.972822
                   8.132                       -20.89209
               8.1359997                      -20.738714
               8.1400003                      -20.521954
               8.1440001                      -20.253212
               8.1479998                      -19.944555
               8.1519995                      -19.607533
               8.1560001                      -19.252422
               8.1599998                      -18.887877
               8.1639996                      -18.520876
               8.1680002                      -18.156849
               8.1719999                      -17.799889
               8.1759996                      -17.452997
               8.1799994                      -17.118299
                   8.184                       -16.79726
               8.1879997                      -16.490814
               8.1919994                      -16.199528
               8.1959991                      -15.923674
               8.1999998                      -15.663334
               8.2040005                      -15.418435
               8.2080002                      -15.188798
               8.2119999                       -14.97418
               8.2159996                      -14.774292
               8.2200003                      -14.588816
                   8.224                      -14.417421
               8.2279997                      -14.259768
               8.2319994                      -14.115517
               8.2360001                      -13.984337
               8.2399998                      -13.865901
               8.2439995                      -13.759892
               8.2480001                      -13.666005
               8.2519999                      -13.583941
               8.2559996                      -13.513412
               8.2599993                      -13.454137
               8.2639999                      -13.405846
               8.2679996                      -13.368264
               8.2719994                      -13.341131
               8.2759991                      -13.324183
               8.2799997                      -13.317147
               8.2840004                      -13.319756
               8.2880001                       -13.33173
               8.2919998                       -13.35278
               8.2959995                      -13.382606
               8.3000002                      -13.420877
               8.3039999                      -13.467255
               8.3079996                      -13.521361
               8.3119993                      -13.582794
                   8.316                      -13.651114
               8.3199997                      -13.725826
               8.3239994                      -13.806405
               8.3280001                      -13.892255
               8.3319998                      -13.982726
               8.3359995                      -14.077109
               8.3399992                      -14.174613
               8.3439999                      -14.274382
               8.3479996                      -14.375479
               8.3520002                      -14.476898
               8.3559999                       -14.57755
               8.3599997                      -14.676286
               8.3640003                      -14.771896
                   8.368                      -14.863125
               8.3719997                      -14.948691
               8.3759995                      -15.027315
               8.3800001                      -15.097733
               8.3839998                      -15.158738
               8.3879995                      -15.209225
               8.3920002                      -15.248198
               8.3959999                      -15.274825
               8.3999996                       -15.28846
               8.4039993                      -15.288667
                   8.408                      -15.275242
               8.4119997                      -15.248209
               8.4159994                      -15.207832
               8.4199991                      -15.154587
