        Frequency                _d0=38.65_l=19.4_sh=26.65/real
----------------------------------------------------------------------
                       8                      -6.1853037
               8.0039997                      -6.2272763
               8.0079994                      -6.2801476
               8.0120001                      -6.3436651
               8.0159998                      -6.4175439
               8.0199995                      -6.5014544
               8.0240002                      -6.5950079
               8.0279999                      -6.6977634
               8.0319996                      -6.8092036
               8.0359993                      -6.9287214
                    8.04                       -7.055625
               8.0439997                      -7.1891026
               8.0479994                      -7.3282294
               8.0519991                      -7.4719353
               8.0559998                      -7.6190023
               8.0600004                      -7.7680583
               8.0640001                      -7.9175568
               8.0679998                      -8.0657949
               8.0719995                      -8.2109003
               8.0760002                      -8.3508644
               8.0799999                      -8.4835587
               8.0839996                      -8.6067924
               8.0879993                      -8.7183561
                   8.092                      -8.8160973
               8.0959997                      -8.8980026
               8.0999994                      -8.9622879
               8.1040001                      -9.0074835
               8.1079998                      -9.0325108
               8.1119995                      -9.0367393
               8.1159992                       -9.020031
               8.1199999                      -8.9827423
               8.1239996                      -8.9257002
               8.1279993                       -8.850153
                   8.132                      -8.7577095
               8.1359997                      -8.6502352
               8.1400003                       -8.529788
               8.1440001                      -8.3985147
               8.1479998                      -8.2585793
               8.1519995                      -8.1121025
               8.1560001                      -7.9611063
               8.1599998                      -7.8074794
               8.1639996                      -7.6529608
               8.1680002                      -7.4991155
               8.1719999                      -7.3473411
               8.1759996                       -7.198873
               8.1799994                      -7.0547838
                   8.184                      -6.9160004
               8.1879997                      -6.7833142
               8.1919994                      -6.6574001
               8.1959991                      -6.5388222
               8.1999998                        -6.42805
               8.2040005                      -6.3254671
               8.2080002                      -6.2313871
               8.2119999                      -6.1460586
               8.2159996                      -6.0696697
               8.2200003                       -6.002367
                   8.224                      -5.9442453
               8.2279997                      -5.8953638
               8.2319994                       -5.855742
               8.2360001                      -5.8253713
               8.2399998                       -5.804204
               8.2439995                      -5.7921629
               8.2480001                      -5.7891455
               8.2519999                      -5.7950087
               8.2559996                      -5.8095765
               8.2599993                      -5.8326397
               8.2639999                      -5.8639469
               8.2679996                      -5.9031973
               8.2719994                      -5.9500508
               8.2759991                      -6.0041065
               8.2799997                      -6.0649023
               8.2840004                      -6.1319156
               8.2880001                      -6.2045364
               8.2919998                      -6.2820902
               8.2959995                      -6.3637977
               8.3000002                      -6.4487953
               8.3039999                      -6.5361114
               8.3079996                      -6.6246758
               8.3119993                      -6.7133093
                   8.316                      -6.8007274
               8.3199997                      -6.8855572
               8.3239994                       -6.966331
               8.3280001                      -7.0415215
               8.3319998                      -7.1095614
               8.3359995                      -7.1688743
               8.3399992                      -7.2179117
