        Frequency                _d0=38.65_l=19.4_sh=26.65/real
----------------------------------------------------------------------
                       8                       0.2707414
                   8.004                       0.2629274
                8.007999                       0.2553602
                   8.012                       0.2481306
                   8.016                       0.2413331
                    8.02                       0.2350645
                   8.024                       0.2294222
                   8.028                       0.2245009
                   8.032                       0.2203892
                8.035999                       0.2171656
                    8.04                       0.2148942
                   8.044                       0.2136207
                8.047999                       0.2133694
                8.051999                       0.2141413
                   8.056                       0.2159144
                    8.06                       0.2186448
                   8.064                       0.2222702
                   8.068                       0.2267136
                   8.072                       0.2318878
                   8.076                       0.2376992
                    8.08                       0.2440519
                   8.084                       0.2508509
                8.087999                       0.2580037
                   8.092                       0.2654222
                   8.096                        0.273024
                8.099999                       0.2807323
                   8.104                       0.2884764
                   8.108                       0.2961917
                   8.112                       0.3038191
                8.115999                       0.3113052
                    8.12                       0.3186017
                   8.124                       0.3256648
                8.127999                       0.3324555
                   8.132                       0.3389389
                   8.136                       0.3450837
                    8.14                       0.3508623
                   8.144                       0.3562506
                   8.148                       0.3612276
                8.151999                       0.3657752
                   8.156                       0.3698784
                    8.16                       0.3735247
                   8.164                       0.3767045
                   8.168                       0.3794104
                   8.172                       0.3816378
                   8.176                       0.3833845
                8.179999                       0.3846504
                   8.184                       0.3854381
                   8.188                       0.3857522
                8.191999                       0.3855997
                8.195999                       0.3849902
                     8.2                        0.383935
                   8.204                       0.3824483
                   8.208                       0.3805462
                   8.212                       0.3782473
                   8.216                       0.3755724
                    8.22                       0.3725452
                   8.224                       0.3691911
                   8.228                       0.3655386
                8.231999                       0.3616183
                   8.236                       0.3574636
                    8.24                       0.3531105
                8.243999                       0.3485972
                   8.248                       0.3439651
                   8.252                       0.3392574
                   8.256                       0.3345205
                8.259999                       0.3298025
                   8.264                       0.3251542
                   8.268                       0.3206278
                8.271999                       0.3162772
                8.275999                       0.3121572
                    8.28                       0.3083231
                   8.284                       0.3048296
                   8.288                       0.3017302
                   8.292                       0.2990763
                   8.296                       0.2969157
                     8.3                       0.2952922
                   8.304                       0.2942437
                   8.308                       0.2938015
                8.311999                         0.29399
                   8.316                       0.2948254
                    8.32                       0.2963155
                8.323999                       0.2984598
                   8.328                       0.3012497
                   8.332                        0.304669
                8.335999                       0.3086946
                8.339999                       0.3132979
                   8.344                        0.318445
                   8.348                       0.3240986
                   8.352                       0.3302187
                   8.356                       0.3367634
                    8.36                       0.3436906
                   8.364                       0.3509574
                   8.368                       0.3585224
                   8.372                       0.3663446
                8.375999                       0.3743852
                    8.38                        0.382607
                   8.384                       0.3909749
                   8.388                       0.3994563
                   8.392                       0.4080205
                   8.396                       0.4166395
                     8.4                       0.4252876
                8.403999                       0.4339412
                   8.408                       0.4425792
                   8.412                       0.4511824
                8.415999                       0.4597339
                8.419999                       0.4682189
                   8.424                       0.4766242
                   8.428                       0.4849386
                   8.432                       0.4931524
                   8.436                       0.5012578
                    8.44                        0.509248
                   8.444                        0.517118
                   8.448                       0.5248638
                   8.452                       0.5324826
                8.455999                       0.5399727
                    8.46                       0.5473332
                   8.464                       0.5545643
                8.467999                       0.5616663
                   8.472                       0.5686406
                   8.476                       0.5754891
                    8.48                       0.5822138
                8.483999                       0.5888171
                   8.488                       0.5953018
                   8.492                       0.6016704
                8.495999                       0.6079255
                8.499999                       0.6140699
                   8.504                       0.6201058
                   8.508                       0.6260355
                   8.512                       0.6318604
                   8.516                       0.6375819
                    8.52                       0.6432011
                   8.524                       0.6487181
                   8.528                       0.6541327
                   8.532                       0.6594439
                8.535999                       0.6646501
                    8.54                        0.669749
                   8.544                       0.6747376
                8.547999                       0.6796122
                   8.552                       0.6843684
                   8.556                        0.689001
                8.559999                        0.693504
                8.563999                       0.6978714
                   8.568                       0.7020956
                   8.572                       0.7061689
                   8.576                        0.710083
                    8.58                       0.7138291
                   8.584                       0.7173979
                   8.588                       0.7207798
                   8.592                       0.7239647
                   8.596                       0.7269423
                     8.6                       0.7297021
                   8.604                       0.7322336
                   8.608                       0.7345259
                   8.612                       0.7365685
                8.615999                       0.7383506
                    8.62                       0.7398624
                   8.624                       0.7410932
                8.627999                       0.7420332
                   8.632                       0.7426734
                   8.636                       0.7430044
                8.639999                       0.7430181
                8.643999                       0.7427065
                8.647999                       0.7420626
                   8.652                         0.74108
                   8.656                       0.7397532
                    8.66                       0.7380775
                8.664001                        0.736049
                   8.668                       0.7336649
                   8.672                       0.7309238
                   8.676                       0.7278248
                8.679999                       0.7243686
                   8.684                       0.7205567
                   8.688                        0.716392
                8.691999                       0.7118789
                   8.696                       0.7070228
                     8.7                       0.7018305
                   8.704                       0.6963103
                8.707999                       0.6904718
                8.711999                        0.684326
                   8.716                       0.6778854
                8.719999                       0.6711639
                8.723999                       0.6641771
                8.728001                       0.6569417
                   8.732                       0.6494763
                   8.736                       0.6418008
                    8.74                       0.6339363
                8.743999                       0.6259059
                   8.748                       0.6177337
                   8.752                       0.6094452
                   8.756                       0.6010676
                    8.76                       0.5926288
                   8.764                       0.5841586
                   8.768                       0.5756871
                8.771999                       0.5672458
                8.775999                       0.5588671
                    8.78                       0.5505835
                8.783999                       0.5424283
                8.787999                       0.5344349
                   8.792                       0.5266366
                   8.796                       0.5190662
                     8.8                       0.5117558
                   8.804                       0.5047364
                   8.808                       0.4980375
                   8.812                       0.4916866
                   8.816                        0.485709
                    8.82                       0.4801269
                   8.824                       0.4749596
                   8.828                       0.4702227
                   8.832                       0.4659278
                8.835999                       0.4620825
                8.839999                       0.4586895
                   8.844                       0.4557472
                   8.848                       0.4532492
                8.851999                       0.4511843
                   8.856                        0.449537
                    8.86                       0.4482872
                8.863999                       0.4474107
                8.867999                         0.44688
                8.871999                       0.4466637
                   8.876                       0.4467279
                    8.88                       0.4470363
                   8.884                       0.4475506
                   8.888                       0.4482313
                   8.892                       0.4490377
                   8.896                       0.4499289
                     8.9                       0.4508636
                8.903999                        0.451801
                   8.908                       0.4527009
                   8.912                       0.4535242
                8.915999                       0.4542323
                    8.92                       0.4547887
                   8.924                        0.455158
                8.927999                       0.4553067
                8.931999                       0.4552029
                8.935999                       0.4548168
                    8.94                       0.4541202
                8.943999                       0.4530872
                   8.948                       0.4516937
